ID;Medicamento;Dosis;Presentación;Marca;Farmacía;Precio;Dirección;Comuna;Región
133;DROLSAN;200 mg;30 COMPRIMIDOS RECUBIERTOS;MINTLAB Co. S.A.;Cruz Verde;16900;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
134;LUCASTE; 4 mg;30 COMPRIMIDOS MASTICABLES;EUROFARMA CHILE S.A.;Cruz Verde;12990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
135;LUCASTE; 5 mg;30 COMPRIMIDOS MASTICABLES;EUROFARMA CHILE S.A.;Cruz Verde;16490;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
136;CERCIORA T;0,75 mg;2 COMPRIMIDOS;EXELTIS CHILE S.p.A.;Cruz Verde;12990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
137;VALVITAE;80 mg;28 COMPRIMIDOS RECUBIERTOS;GALENICUM HEALTH CHILE S.p.A.;Cruz Verde;14790;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
138;VALVITAE;160 mg;28 COMPRIMIDOS RECUBIERTOS;GALENICUM HEALTH CHILE S.p.A.;Cruz Verde;14290;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
139;ESC;10 mg;30 COMPRIMIDOS RECUBIERTOS;EUROFARMA CHILE S.A.;Cruz Verde;10490;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
140;COXDOS;200 mg;10 CÁPSULAS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;12290;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
141;COXDOS;200 mg;30 CÁPSULAS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;24490;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
142;CARDIOLEN;80 mg;20 CÁPSULAS;INSTITUTO SANITAS S.A.;Cruz Verde;15490;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
143;CARDIOLEN;120 mg;20 CÁPSULAS;INSTITUTO SANITAS S.A.;Cruz Verde;20570;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
144;LODIPRES;25 mg;30 COMPRIMIDOS;LABORATORIO CHILE S.A.;Cruz Verde;16890;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
145;ENALTEN; 5 mg;30 COMPRIMIDOS;EUROLAB LTDA.;Cruz Verde;16560;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
146;LOWDEN;20 mg;30 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Cruz Verde;20990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
147;LOWDEN;20 mg;60 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Cruz Verde;40390;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
148;LAFIGIN;25 mg;30 COMPRIMIDOS;LABORATORIOS LAFI LTDA.;Cruz Verde;15460;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
149;LAFIGIN;50 mg;30 COMPRIMIDOS;LABORATORIOS LAFI LTDA.;Cruz Verde;24690;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
150;INFLADER;10 mg;30 CÁPSULAS BLANDAS;PHARMA INVESTI DE CHILE S.A.;Cruz Verde;23190;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
151;DEZARTAL;6 mg;30 COMPRIMIDOS;GRÜNENTHAL CHILENA LTDA.;Cruz Verde;30290;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
152;FAMOTIDINA;20 mg;20 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Cruz Verde;890;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
153;GESIX;200 mg;10 CÁPSULAS;LABORATORIOS SAVAL S.A.;Cruz Verde;9490;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
154;GESIX;200 mg;30 CÁPSULAS;LABORATORIOS SAVAL S.A.;Cruz Verde;21990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
155;LADEE;s/i;28 COMPRIMIDOS RECUBIERTOS;EXELTIS CHILE S.p.A.;Cruz Verde;15090;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
156;DEZARTAL;30 mg;20 COMPRIMIDOS;GRÜNENTHAL CHILENA LTDA.;Cruz Verde;57790;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
157;DANIELE;s/i;28 COMPRIMIDOS RECUBIERTOS;EXELTIS CHILE S.p.A.;Cruz Verde;11490;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
158;DOSARA;160 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;13490;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
159;DOSARA;80 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;13390;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
160;TAPSIN PURO;500 mg;16 COMPRIMIDOS;LABORATORIO MAVER S.A.;Cruz Verde;1090;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
161;PLENITEX;75 mg;30 CÁPSULAS;LABORATORIOS RAFFO S.A.;Cruz Verde;11290;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
162;LOWDEN;10 mg;30 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Cruz Verde;15590;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
163;LOWDEN;10 mg;60 COMPRIMIDOS RECUBIERTOS;EUROLAB LTDA.;Cruz Verde;29590;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
164;PLENITEX;150 mg;30 CÁPSULAS;LABORATORIOS RAFFO S.A.;Cruz Verde;19990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
165;BETINA;24 mg;30 COMPRIMIDOS;EUROFARMA CHILE S.A.;Cruz Verde;29340;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
166;BETINA;16 mg;30 COMPRIMIDOS;EUROFARMA CHILE S.A.;Cruz Verde;22590;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
167;OLANVITAE;5 mg;28 COMPRIMIDOS RECUBIERTOS;GALENICUM HEALTH CHILE S.p.A.;Cruz Verde;18990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
168;OLANVITAE;10 mg;28 COMPRIMIDOS RECUBIERTOS;GALENICUM HEALTH CHILE S.p.A.;Cruz Verde;27990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
169;ROSINA CD;s/i;28 COMPRIMIDOS RECUBIERTOS;COMERCIAL GEDEON RICHTER (CHILE) LTDA.;Cruz Verde;13090;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
170;SOLUNA-E 20;s/i;21 COMPRIMIDOS;MINTLAB Co. S.A.;Cruz Verde;8190;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
171;SOLUNA E;s/i;21 COMPRIMIDOS;MINTLAB Co. S.A.;Cruz Verde;8990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
172;FLUYET;75 mg;30 COMPRIMIDOS RECUBIERTOS;PHARMAVITA S.A.;Cruz Verde;18990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
173;IBUPROFENO;600 mg;20 COMPRIMIDOS RECUBIERTOS;ASCEND LABORATORIES S.p.A.;Cruz Verde;1440;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
174;PARACETAMOL;500 mg;16 COMPRIMIDOS;OPKO CHILE S.A.;Cruz Verde;890;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
175;LETICO;100 mg;30 COMPRIMIDOS;EUROFARMA CHILE S.A.;Cruz Verde;18290;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
176;LETICO;25 mg;30 COMPRIMIDOS;EUROFARMA CHILE S.A.;Cruz Verde;9090;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
177;LEVEVITAE;1000 mg;30 COMPRIMIDOS RECUBIERTOS;GALENICUM HEALTH CHILE S.p.A.;Cruz Verde;29990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
178;ENALAPRIL MALEATO;10 mg;20 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;690;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
179;PRENAL;s/i;21 COMPRIMIDOS RECUBIERTOS;MINTLAB Co. S.A.;Cruz Verde;8190;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
180;IRTANA H;300/12,5;30 COMPRIMIDOS;EUROFARMA CHILE S.A.;Cruz Verde;23990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
181;RISPYL;1 mg;20 COMPRIMIDOS RECUBIERTOS;AXON PHARMA S.p.A.;Cruz Verde;14490;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
182;LOSARTÁN POTÁSICO;50 mg;30 COMPRIMIDOS RECUBIERTOS;ASCEND LABORATORIES S.p.A.;Cruz Verde;2390;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
183;LIPOX;10 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Cruz Verde;10690;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
184;LIPOX;20 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Cruz Verde;20790;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
185;AMOXICILINA / ÁCIDO CLAVULANICO 500/125;500/125;20 COMPRIMIDOS RECUBIERTOS;OPKO CHILE S.A.;Cruz Verde;7590;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
186;REUMAZINE;200 mg;30 COMPRIMIDOS RECUBIERTOS;INSTITUTO SANITAS S.A.;Cruz Verde;20390;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
187;MICROSER;24 mg;30 COMPRIMIDOS;GRÜNENTHAL CHILENA LTDA.;Cruz Verde;39490;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
188;ECTIEN XR;150 mg;30 CÁPSULAS CON MICROGRÁNULOS RECUBIERTOS DE LIBERACIÓN PROLONGADA;LABORATORIO CHILE S.A.;Cruz Verde;40240;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
189;IBUPROFENO;400 mg;20 COMPRIMIDOS RECUBIERTOS;ASCEND LABORATORIES S.p.A.;Cruz Verde;1240;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
190;NEURUM;50 mg;30 CÁPSULAS;LABORATORIOS SAVAL S.A.;Cruz Verde;10890;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
191;HASSAPIRIN INFANTIL;100 mg;20 COMPRIMIDOS;MINTLAB Co. S.A.;Cruz Verde;1590;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
192;ALEXIA;120 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS SAVAL S.A.;Cruz Verde;21840;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
193;CETRAXAL PLUS 3/0,25;3/0,25;10 SOLUCIÓN PARA GOTAS ÓTICAS;FAES FARMA CHILE, SALUD Y NUTRICIÓN LTDA.;Cruz Verde;14890;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
194;CARVEDILOL;25 mg;30 COMPRIMIDOS;OPKO CHILE S.A.;Cruz Verde;4990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
195;PYRIPED;400 mg;20 CÁPSULAS BLANDAS;MINTLAB Co. S.A.;Cruz Verde;2790;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
196;LEVORIGOTAX; 5 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS PRATER S.A.;Cruz Verde;6190;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
197;ZIVAL; 5 mg;40 COMPRIMIDOS RECUBIERTOS;LABORATORIOS SAVAL S.A.;Cruz Verde;11040;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
198;GOFYL;200 mg;30 COMPRIMIDOS RECUBIERTOS;AXON PHARMA S.p.A.;Cruz Verde;31990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
199;GOFYL;100 mg;30 COMPRIMIDOS RECUBIERTOS;AXON PHARMA S.p.A.;Cruz Verde;20990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
200;GOFYL;25 mg;30 COMPRIMIDOS RECUBIERTOS;AXON PHARMA S.p.A.;Cruz Verde;13690;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
201;NEURUM;75 mg;40 CÁPSULAS;LABORATORIOS SAVAL S.A.;Cruz Verde;14690;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
202;QUINOBIOT;750 mg;7 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;16790;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
203;QUINOBIOT;750 mg;10 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;14490;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
204;CLARITROMICINA;500 mg;14 COMPRIMIDOS RECUBIERTOS;CHEMOPHARMA S.A.;Cruz Verde;4990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
205;CELTIUM;20 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS SAVAL S.A.;Cruz Verde;31690;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
206;TOPICTAL;100 mg;28 COMPRIMIDOS RECUBIERTOS;TECNOFARMA S.A.;Cruz Verde;58190;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
207;REPOSIL;10 mg;30 COMPRIMIDOS RECUBIERTOS;MEDIPHARM LTDA.;Cruz Verde;12990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
208;T4 - BAGÓ;150 mcg;50 COMPRIMIDOS;LABORATORIO BAGÓ DE CHILE S.A.;Cruz Verde;9290;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
209;T4 - BAGÓ;50 mcg;50 COMPRIMIDOS;LABORATORIO BAGÓ DE CHILE S.A.;Cruz Verde;6290;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
210;ÁCIDO ACETILSALICÍLICO;100 mg;100 COMPRIMIDOS;MINTLAB Co. S.A.;Cruz Verde;3290;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
211;DESPEX; 5 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Cruz Verde;4990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
212;CLONAZEPAM; 0,5 mg;30 COMPRIMIDOS;LABORATORIO CHILE S.A.;Cruz Verde;4190;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
213;PREGOBIN;75 mg;30 CÁPSULAS;LABORATORIOS RECALCINE S.A.;Cruz Verde;13990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
214;PREGOBIN;150 mg;30 CÁPSULAS;LABORATORIOS RECALCINE S.A.;Cruz Verde;35990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
215;CLONAZEPAM; 2 mg;30 COMPRIMIDOS;LABORATORIO CHILE S.A.;Cruz Verde;4990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
216;KETOPROFENO;50 mg;20 CÁPSULAS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;1590;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
217;MELIC;15 mg;10 COMPRIMIDOS;LABORATORIO PASTEUR S.A.;Cruz Verde;5390;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
218;MELIC;15 mg;30 COMPRIMIDOS;LABORATORIO PASTEUR S.A.;Cruz Verde;9990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
219;TRAMADOL CLORHIDRATO;50 mg;10 CÁPSULAS;MINTLAB Co. S.A.;Cruz Verde;3890;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
220;MELOXICAM;15 mg;10 COMPRIMIDOS;MINTLAB Co. S.A.;Cruz Verde;2190;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
221;MELOXICAM; 7,5 mg;15 COMPRIMIDOS;MINTLAB Co. S.A.;Cruz Verde;2790;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
222;TOLEXINE GE;100 mg;15 COMPRIMIDOS;LABORATORIOS D & M PHARMA LTDA.;Cruz Verde;17790;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
223;GEMFIBROZILO;600 mg;30 COMPRIMIDOS;LABORATORIO PASTEUR S.A.;Cruz Verde;3490;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
224;AZYMOL;10 mg;30 COMPRIMIDOS;LABORATORIOS RECALCINE S.A.;Cruz Verde;43990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
225;AZYMOL;15 mg;30 COMPRIMIDOS;LABORATORIOS RECALCINE S.A.;Cruz Verde;57990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
226;CLARIMAX;500 mg;14 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;24890;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
227;CLARIMAX;500 mg;20 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;25390;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
228;GOVAL; 3 mg;30 COMPRIMIDOS RECUBIERTOS;PHARMA INVESTI DE CHILE S.A.;Cruz Verde;17990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
229;IBUPROFENO;200 mg;20 COMPRIMIDOS;LABORATORIO PASTEUR S.A.;Cruz Verde;1290;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
230;ABACTEN;500 mg;6 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;21990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
231;BLOCAR;12,5 mg;30 COMPRIMIDOS;LABORATORIO BAGÓ DE CHILE S.A.;Cruz Verde;12290;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
232;T4 - BAGÓ;100 mcg;50 COMPRIMIDOS;LABORATORIO BAGÓ DE CHILE S.A.;Cruz Verde;5190;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
233;T4 - BAGÓ;100 mcg;100 COMPRIMIDOS;LABORATORIO BAGÓ DE CHILE S.A.;Cruz Verde;9990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
234;GOVAL; 1 mg;30 COMPRIMIDOS RECUBIERTOS;PHARMA INVESTI DE CHILE S.A.;Cruz Verde;13990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
235;TERBINAFINA;250 mg;28 COMPRIMIDOS;LABORATORIO CHILE S.A.;Cruz Verde;8990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
236;RECAMICINA;750 mg;7 COMPRIMIDOS RECUBIERTOS;LABORATORIOS LAFI LTDA.;Cruz Verde;15990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
237;RECAMICINA;750 mg;10 COMPRIMIDOS RECUBIERTOS;LABORATORIOS LAFI LTDA.;Cruz Verde;16490;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
238;PRODEL; 4 mg;20 COMPRIMIDOS;LABORATORIO PASTEUR S.A.;Cruz Verde;1890;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
239;CLAVOXILINA BID 875/125;875/125;14 COMPRIMIDOS RECUBIERTOS;LABORATORIOS LAFI LTDA.;Cruz Verde;16740;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
240;CLAVOXILINA BID 875/125;875/125;20 COMPRIMIDOS RECUBIERTOS;LABORATORIOS LAFI LTDA.;Cruz Verde;21790;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
241;CIBLEX;15 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIOS LAFI LTDA.;Cruz Verde;20290;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
242;SOMNIL;10 mg;30 COMPRIMIDOS;TECNOFARMA S.A.;Cruz Verde;19690;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
243;DOXICICLINA;100 mg;10 COMPRIMIDOS;LABORATORIO CHILE S.A.;Cruz Verde;2490;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
244;AZITROM;500 mg;6 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Cruz Verde;17990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
245;LORATADINA;10 mg;30 COMPRIMIDOS;LABORATORIO CHILE S.A.;Cruz Verde;1090;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
246;PAMAX;20 mg;30 COMPRIMIDOS RECUBIERTOS;INSTITUTO SANITAS S.A.;Cruz Verde;20290;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
247;PARACETAMOL;500 mg;16 COMPRIMIDOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;890;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
248;CLINIUM;20 mg;30 CÁPSULAS;INSTITUTO SANITAS S.A.;Cruz Verde;5390;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
249;ZOMETIC; 7,5 mg;30 COMPRIMIDOS RECUBIERTOS;CHEMOPHARMA S.A.;Cruz Verde;6280;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
250;POSIVYL;20 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Cruz Verde;36590;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
251;PRECLAR;500 mg;14 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Cruz Verde;24790;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
252;SIMPERTEN;50 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Cruz Verde;15990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
253;SOSTAC;20 mg;30 COMPRIMIDOS;LABORATORIO CHILE S.A.;Cruz Verde;12470;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
254;SOSTAC;20 mg;60 COMPRIMIDOS;LABORATORIO CHILE S.A.;Cruz Verde;17840;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
255;TENARON;15 mg;10 COMPRIMIDOS;PHARMA INVESTI DE CHILE S.A.;Cruz Verde;12890;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
256;HIPOGLUCIN;850 mg;30 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Cruz Verde;7440;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
257;HIPOGLUCIN;850 mg;60 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Cruz Verde;16140;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
258;CORTIPREX;20 mg;20 COMPRIMIDOS RECUBIERTOS;LABORATORIO CHILE S.A.;Cruz Verde;6990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
259;BETAPLEX;6,25 mg;30 COMPRIMIDOS;LABORATORIOS LAFI LTDA.;Cruz Verde;6990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
260;SUPRACALM;1 g;20 COMPRIMIDOS;TECNOFARMA S.A.;Cruz Verde;8590;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
261;QUINOBIOT;500 mg;7 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;17690;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
262;QUINOBIOT;500 mg;10 COMPRIMIDOS RECUBIERTOS;LABORATORIOS ANDRÓMACO S.A.;Cruz Verde;17790;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
263;RELATENE;50 mg;10 CÁPSULAS;MINTLAB Co. S.A.;Cruz Verde;2990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
264;RELATENE;50 mg;20 CÁPSULAS;MINTLAB Co. S.A.;Cruz Verde;4690;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
265;RITMENAL;300 mg;30 CÁPSULAS;INSTITUTO SANITAS S.A.;Cruz Verde;23490;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
266;RITMENAL;400 mg;30 CÁPSULAS;INSTITUTO SANITAS S.A.;Cruz Verde;24990;Avda. Kennedy Nº 9001, local 217 Alto Las Condes;Las Condes;Metropolitana
